article_id,vedette,vedette_orig,localisationco,localisationco_orig,NCCENR_orig,insee_code,id,old-id,label,definition_typologie,definition_localisation,insee,method_dicotopo,localisationde,dpt_code,canton_code,method,reference
PO8-00426,Correns,Correns,none,none,Correns,Correns (83045),,,,,,,nulle,Var,83,Cotignac,dpt_exact,     Correns     Var     con de Cotignac       Corredis  eccl   11 d  17 a  35 a  41 a      Correndis  41 variante a    
PO8-00427,Cost,Cost,Buis les Baronnies,Buis-les-Baronnies,Buis-les-Baronnies,Buis les Baronnies (26063),,,,,,,nulle,Drôme,26,Buis-les-Baronnies,dpt_exact,     Cost     Drôme     con de Buis les Baronnies     cne de Buis les Baronnies       Costabuxi  curatus  240 e    
PO8-00428,Costes,Costes,none,none,Costes,Costes (05043),,,,,,,nulle,Hautes-Alpes,05,Saint-Bonnet,dpt_exact,     Costes  les      Hautes Alpes     con de Saint Bonnet       Coste  99 d  capellanus  78 c  85 d    
PO8-00432,Cotignac,Cotignac,none,none,Cotignac,Cotignac (83046),,,,,,,nulle,Var,83,none,dpt_exact,     Cotignac     Var     arr  de Brignoles       Continhacum  65 variante m      Continiacum  58 d      Cotinhacum  prior  65 e    
PO8-00433,Couche,Couche,Chorges,Chorges,Chorges,Chorges (05040),,,,,,,nulle,Hautes-Alpes,05,Chorges,dpt_exact,     Couche  la      Hautes Alpes     con de Chorges     cne de Chorges       Culca  prior  245 a  251 e    
PO8-00434,Cougne,Cougne,Aiglun,Aiglun,Aiglun,Aiglun (06001),,,,,,,nulle,Alpes-Maritimes,06,Saint-Auban,dpt_exact,     Cougne  la      Alpes Maritimes     con de Saint Auban     cne d Aiglun       Conge  Sancta Maria  eccl   262 a    
PO8-00435,Couloubroux,Couloubroux,Seyne Alpes,Seyne-les-Alpes,,04205,,,,,,,nulle,Basses-Alpes,04,Seyne-les-Alpes,nulle,     Couloubroux     Basses Alpes     con de Seyne les Alpes     cne de Seyne les Alpes       cxxxv        Colobrosium  capellanus  256 g  258 b    
PO8-00436,Courbons,Courbons,Digne,Digne,,Digne Bains (04070) - Digne-les-Bains,,,,,,,nulle,Basses-Alpes,04,Digne,dpt_fuzzy,     Courbons     Basses Alpes     con de Digne     cne de Digne       Corboni  capellanus  256 f  258 e    
PO8-00437,Courmes,Courmes,none,none,Courmes,Courmes (06049),,,,,,,nulle,Alpes-Maritimes,06,Bar,dpt_exact,     Courmes     Alpes Maritimes     con du Bar       Corme  298 d  eccl   300 b  prebenda  300 a  vicarius  301 a    
PO8-00438,Courmettes,Courmettes,Tourrette Loup,Tourrette-sur-Loup,,06148,,,,,,,nulle,Alpes-Maritimes,06,Bar,nulle,     Courmettes     Alpes Maritimes     con du Bar     cne de Tourrette sur Loup       Cormete  298 d  prebenda  300 a  vicarius  301 d    
PO8-00439,Coursegoules,Coursegoules,none,none,Coursegoules,Coursegoules (06050),,,,,,,nulle,Alpes-Maritimes,06,none,dpt_exact,     Coursegoules     Alpes Maritimes     arr  de Grasse       Corsegole  298 b  capellania Beate Marie Magdalene  306 c  315 e  eccl   300 a  305 g  magnum altare  315 e  prebenda  299 a      Cossegole  vicarius  301 c    
PO8-00440,Courthezon,Courthézon,none,none,Courthézon,Courthezon (84039),,,,,,,nulle,Vaucluse,84,Bédarrides,dpt_exact,     Courthézon     Vaucluse     con de Bédarrides       Curthedo  eccl   192 d      Curthodo  eccl   166 b  prior  166 b    
PO8-00442,Couvent,Couvent,Reillanne,Reillanne,Reillanne,Reillanne (04160),,,,,,,nulle,Basses-Alpes,04,Reillanne,dpt_exact,     Couvent  le      Basses Alpes     con de Reillanne     cne de Reillanne       Sanctus Siffredus  eccl   26 c      Sanctus Sifredus  eccl   45 c      Sanctus Suffredus  eccl   38 f      Sanctus Suffredus de Ultra Durentiam  eccl   11 f      Sanctus Sufredus  eccl   45 variante d    
PO8-00443,Couvents,Couvents,Paul lez Durance,Saint-Paul-lez-Durance,,13099,,,,,,,nulle,Bouches-du-Rhône,13,Peyrolles,nulle,     Couvents  les      ruines     Bouches du Rhône     con de Peyrolles     cne de Saint Paul lez Durance       Sanctus Martinus Athelet   eccl   21 b    
PO8-00444,Crau,Crau,none,none,,,,,,,,,nulle,Bouches-du-Rhône,13,none,nulle,     Crau  la      région     Bouches du Rhône     arr  d Arles       Cravum  137 a  nundine  160 a  161 a    
PO8-00445,Crau,Crau,none,none,Crau,Crau (83047),,,,,,,nulle,Var,83,Hyères,dpt_exact,     Crau  la      Var     con d Hyères       Carum  eccl   236 a    
PO8-00446,Craux,Craux,Villemus,Villemus,Villemus,Villemus (04241),,,,,,,nulle,Basses-Alpes,04,Reillanne,dpt_exact,     Craux  les      Basses Alpes     con de Reillanne     cne de Villemus       Sanctus Michael de Crau  eccl   26 c      Sanctus Michael de Crave  eccl   15 a      Sanctus Michael de Cravi  eccl   45 c    
PO8-00447,Creisset,Creisset,none,none,,04028,,,,,,,nulle,Basses-Alpes,04,Mezel,nulle,     Creisset     Basses Alpes     con de Mezel       cxxxviii  clviii        Creissellum  112 variante a      Creysellum  eccl   112 a      Greissellum  prior  107 c      Groissellum  capellanus  109 b    
PO8-00448,Crestet,Crestet,none,none,Crestet,Crestet (84040),,,,,,,nulle,Vaucluse,84,Vaison,dpt_exact,     Crestet     Vaucluse     con de Vaison       Crestetum  curatus  239 a    
PO8-00449,Crevoux,Crévoux,none,none,Crévoux,Crevoux (05044),,,,,,,nulle,Hautes-Alpes,05,Embrun,dpt_exact,     Crévoux     Hautes Alpes     con d Embrun       Crevoli  capellanus  246 g    
PO8-00450,Crillon,Crillon,none,none,,Crillon Brave (84041) - Crillon-le-Brave,,,,,,,nulle,Vaucluse,84,Mormoiron,dpt_fuzzy,     Crillon     Vaucluse     con de Mormoiron       Credulio  eccl   200 a    
PO8-00451,Croagnes,Croagnes,Saturnin Apt,Saint-Saturnin-d’Apt,Saint-Saturnin-lès-Apt,Saturnin Apt (84118),,,,,,,nulle,Vaucluse,84,Apt,dpt_exact_simple,     Croagnes     Vaucluse     con d Apt     cne de Saint Saturnin d Apt       Crosangnie  Sancta Maria  55 i      Crossanee  eccl   53 a  vicarius  53 a    
PO8-00452,Croix,Croix,none,none,,06051,,,,,,,nulle,Alpes-Maritimes,06,Puget-Théniers,nulle,     Croix  la      Alpes Maritimes     con de Puget Théniers       Crux  eccl   261 b  264 b  267 c  Sanctus Johannes  hospitale  263 a    
PO8-00453,Crottes,Crottes,none,none,,05045,,,,,,,nulle,Hautes-Alpes,05,Embrun,nulle,     Crottes  les      Hautes Alpes     con d Embrun       Crote  capellanus  246 c    
