Article	Vedette	Localisation	INSEE_corrigé	Nom_corrigé	Commentaire
DT56-00556	Beluré,	Arz	56088		"! La localisation a été découpée en 2, entre ""Île-d"" et ""Arz"". Tous les articles apparaissent donc deux fois dans le tableau"
DT56-00635	Berno,	Arz	56088		
DT56-00820	Bliguervé,	Arz	56088		
DT56-02647	Charles (Île),	Arz	56088		
DT56-04405	Drénec,	Arz	56088		
DT56-04497	Ély (Fontaine d’),	Arz	56088		
DT56-04837	Feten-er-Puns,	Arz	56088		
DT56-04844	Feten-Néhué,	Arz	56088		
DT56-05297	Gathia (Fontaine de la),	Arz	56088		
DT56-05916	Gréavo,	Arz	56088		
DT56-06058	Grévin,	Arz	56088		
DT56-06720	Hélène,	Arz	56088		
DT56-06995	Ilur,	Arz	56088		
DT56-06996	Iluric,	Arz	56088		
DT56-07957	Kerdonnerch (Fontaine),	Arz	56088		
DT56-09191	Kerino,	Arz	56088		
DT56-10169	Kernoël,	Arz	56088		
DT56-11126	Kervio,	Arz	56088		
DT56-11284	Lagayo,	Arz	56088		
DT56-11323	Lan (Le),	Arz	56088		
DT56-11841	Lerne,	Arz	56088		
DT56-12085	Liouse,	Arz	56088		
DT56-12527	Maison-des-Poulpiquets,	Arz	56088		
DT56-12856	Maria,	Arz	56088		
DT56-13028	Ménézic,	Arz	56088		
DT56-13327	Morbihan (Le),	Arz	56088		
DT56-13421	Mouchiouse,	Arz	56088		
DT56-14221	Péner (Le),	Arz	56088		
DT56-14403	Pennero,	Arz	56088		
DT56-16138	Quéléron,	Arz	56088		
DT56-17117	Rudevent,	Arz	56088		
DT56-17285	Rusandis,	Arz	56088		
DT56-18209	Spirenn,	Arz	56088		
DT56-18860	Touleuprie,	Arz	56088		
DT56-16992	de la Petite-Rose,	Basse-Cour	NON		
DT56-00197	Bangor,	Belle-Île-en-Mer	NON		
DT56-12152	Locmaria,	Belle-Île-en-Mer	NON		
DT56-13901	Palais (Le),	Belle-Île-en-Mer	NON		
DT56-15590	Sauzon,	Belle-Île-en-Mer	NON		
DT56-20647	Ville-Rouault (La),	Bréan-Loudéac	56024		
DT56-07161	Kerallan,	Budry	56026	Bubry	
DT56-12635	Mané-Bihan,	Caradec-Trégomel	56210	Saint-Caradec-Trégomel	
DT56-00161	Bagotaie (La),	Chapelle	56037		non identifié (art. 56-02622)
DT56-00723	Bignon (Le),	Chapelle	56037		
DT56-01550	Bouère (La),	Chapelle	56037		
