article,output6.xml,DT11.xml
DT11-00436,commune de Saint-Papoul.,commune de S.-Papoul.
DT11-00486,commune de Mayreville.,commune de Mayrevieille.
DT11-00792,commune de la Courtète.,commune de la Courtèle.
DT11-01642,"communes de Vignevieille, de Mayronnes, de Saint-Martin-des-Puits et de Termes.","communes de Vignevielle, de Mayronnes, de Saint-Martin-des-Puits et de Termes."
DT11-02345,commune de Dernacueillette.,commune de Dernaoueillette.
DT11-03503,"communes de Saint-Couat-du-Razès, Castelreng, Ladigne-d’Amont, Ladigne-d’Aval, et se jette dans l’Aude à ","communes de Saint-Couat-du-Razès, Castreleng, Ladigne-d'Amont, Ladigne-d'Aval, et se jette dans l'Aude à "
DT11-03799,"commune de Carcassonne, ","commune de Carc., "
DT11-04369,"commune d’Aiguesvives, au ","commune d'Aiguesvives,"
DT11-05551,commune de Mayreville ; ,commune de Mayrevieille ; 
DT11-05967,"Fonters-du-Razes, coule pendant 25 kilomètres dans l’Aude, reçoit la Ganguise et le ruisseau de Peyrefite, baigne Payra, Montauriol, Salles, Saint-Michel-de-Lanès et entre dans l’Ariège pour se jeter dans l’Hers.","Fonters-du-Razès, coule pendant 25 kilomètres dans l'Aude, reçoit la Ganguise et le ruisseau de Peyrefite, baigne Payra, Montauriol, Salles, Saint-Michel-de-Lanès et entre dans l'Ariège pour se jeter dans l'Hers."
DT11-06622,"Cennes-Monesties, ","Cennes-Monestiès, "
DT11-07078,commune d’Azille.,commune d'Azille et commune d'Homps au terroir de Jouarres.
DT11-07416,"commune de Molleville, ","commune de Moleville, "
DT11-07909,commune de Soulatge ; alias : ,commune de Soulatge ; 
DT11-07926,commune de Capendu ; alias : ,commune de Capendu ; 
DT11-07972,commune de Villegly ; alias : ,commune de Villegly ; 
DT11-09193,commune de Saint-Hilaire ; la cure était à la présentation de l’abbé de Saint-Hilaire.,commune de Sainte-Hilaire ; la cure était à la présentation de l'abbé de Saint-Hilaire.
DT11-09469,Valmigere et ,Valmigère et 
DT11-09687,commune de Vignevieille.,commune de Vignevielle.
DT11-10293,commune de Villeneuve-la-Comptal.,commune de Villoneuve-la-Comptal.
DT11-11047,commune d’Antugnac.,commune d'Autugnac.
DT11-11495,commune de Vignevieille.,commune de Vignevielle.
