Article	Vedette	Localisation	INSEE_corrigé	Nom_corrigé	Commentaire
DT05-01100	Bric-Bouchet (Le)	Abriés et Italie	05001	Abriès	
DT05-01101	Pelvas,	Abriés et Italie	05001	Abriès	
DT05-01102	Bric-Froid (Le),	Abriés et Italie	05001	Abriès	
DT05-03923	Freppier (Le),	Abriés et Italie	05001	Abriès	
DT05-04346	Grand-Queyron (Le),	Abriés et Italie	05001	Abriès	
DT05-05201	Malaure	Abriés et Italie	05001	Abriès	
DT05-00520	Bauchaine (Le).	Agnelles	05002		
DT05-02478	Combe (La)	Agnières	05002		
DT05-02696	Coste-Belle,	Agnières	05002		
DT05-02853	Courtières (Les),	Agnières	05002		
DT05-02874	Coutières,	Agnières	05002		
DT05-04951	Lauze (La)	Agnières	05002		
DT05-04989	Lauzon (Le),	Agnières	05002		
DT05-05215	Malemort,	Agnières	05002		
DT05-05408	Maubourg,	Agnières	05002		
DT05-06533	Piouroux,	Ambel	38008		
DT05-00526	Bayard,	Argençon	05154	Saint-Pierre-d’Argençon	
DT05-06320	Peyre-Grosse (La),	Argençon	05154	Saint-Pierre-d’Argençon	
DT05-00261	Aspremont,	Aspres	non		
DT05-00520	Bauchaine (Le).	Aspres	05010		
DT05-00601	Beaume (La),	Aspres	non		
DT05-03494	Faurie (La),	Aspres	non		
DT05-04559	Haute-Beaume (La),	Aspres	non		
DT05-05637	Montbrand,	Aspres	non		
DT05-08164	Saint-Julien-en-Bauchaine,	Aspres	non		
DT05-08260	Saint-Pierre-d'Argençon,	Aspres	non		
DT05-00317	Aup (L'),	Bâtie-des-Fonds	26030		
DT05-07535	Rigaud,	Bâtie-des-Fonds	26030		
DT05-07646	Roc-de-Beauvent (Le),	Bâtie-des-Fonds	26030		
DT05-08570	Serre-Charomp (Le),	Bâtie-des-Fonds	26030		
DT05-08242	Saint-Pansier,	Bevons	04027		
DT05-03976	Galibier (Le),	Bonne-Nuit	73306		
DT05-04201	Goléon,	Bonne-Nuit	73306		
DT05-00318	Aup (L'),	Bonneval	26055		
DT05-07302	Quigouret,	Bonneval	26055		
DT05-09200	Turge-de-la-Suffie (La)	Cervière	05027		
DT05-01441	Chaillol,	Chaillol	05153		
DT05-08552	Serre-Blanc (Le),	Champcelle	05031		
DT05-02786	Couagne (La)	Château-Vieille-Ville	05038	Château-Ville-Vieille	
DT05-02699	Coste-Belle,	Châteauneuf-d	05035	Châteauneuf-d’Oze	
DT05-06052	Ourrettes (Les),	Châteauneuf-d	05035	Châteauneuf-d’Oze	
DT05-09280	Val-d'Oze (La).	Châteauneuf-d	05035	Châteauneuf-d’Oze	
DT05-06139	Parpaillon (Le),	Châtelart	04062		
DT05-07354	Rasis,	Chatellard	04062		
DT05-04731	Jaunas (Le),	Chau	26154		
DT05-07000	Pré-du-Mulet (Le),	Chau	26154		
DT05-08781	Sonaille (La)	Condamine	04062		
DT05-04451	Gravières (Les),	Cornillac	26104		
DT05-07372	Raton,	Cornillac	26104		
DT05-07673	Roche-Courbe,	Corps	38128		
DT05-00668	Bellaffaire,	Espinasse	05050		
DT05-06356	Peyssias (Les),	Establet	26123		
DT05-09280	Val-d'Oze (La).	Futmeyer	05060	Furmeyer	
DT05-08934	Terre-d'Église.	Glaisil	05062		
DT05-06120	Pare (La),	Glandage	26142		
DT05-00085	Aiguille-Rouge (L'),	Italie	non		
