article,output6.xml,DT05.xml
DT05-01100,commune d’Abriès.,commune d'Abriés et Italie         .
DT05-01101,commune d’Abriès.,commune d'Abriés et Italie         .
DT05-01102,commune d’Abriès.,commune d'Abriés et Italie         .
DT05-02786,commune de Château-Ville-Vieille.,commune de Château-Vieille-Ville         .
DT05-03217,Batie-Neuve.,Bâtie-Neuve.
DT05-03923,commune d’Abriès.,commune d'Abriés et Italie         .
DT05-04346,commune d’Abriès.,commune d'Abriés et Italie         .
DT05-05201,commune d’Abriès.,commune d'Abriés et Italie         .
DT05-05966,"communes de Clémence-d'Ambel, de Saint-Christophe (Isère) et de Valjouffrey (Isère).","communes de Clémence-d'Ambel, de Saint-Christophe (Isère) et de Val-Jouffrey (Isère)."
DT05-06012,communes de Villard-Loubière et du Valjouffrey (Isère).,communes de Villard-Loubière et du Val-Jouffrey (Isère).
DT05-06253,communes de Saint-Maurice et de Valjouffrey (Isère).,communes de Saint-Maurice et de Val-Jouffrey (Isère).
DT05-08077,"Etoile, se jette dans la Céans ","Étoile, se jette dans la Céans "
DT05-09280,"communes actuelles de la Bâtie-Mont-Saléon, Chabestan, Oze, le Saix, Clausonne, Saint-Auban-d'Oze, Châteauneuf-d’Oze, Furmeyer et Chatillon-le-Désert.","communes actuelles de la Bâtie-Mont-Saléon, Chabestan, Oze, le Saix, Clausonne, Saint-Auban-d'Oze, Châteauneuf-d'Oze, Futmeyer et Chatillon-le-Désert."
