article,ProblemeLocalisation ?
DT23-00011,commune de Saint-Agnant-près-Crocq. — ,commune de St.-Agnant-près-Crocq. — 
DT23-00012,commune de Saint-Priest-la-Feuille. — ,commune de St.-Priest-la-Feuille. — 
DT23-00141,commune de Saint-Marien. — ,commune de St.-Marien. — 
DT23-00215,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-00322,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-00359,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-00555,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-00590,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-00621,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-00666,commune de 66La-Souterraine.,commune de La 66Souterraine.
DT23-00688,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-00700,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-00935,commune de Saint-Amand-Jartoudeix.,commune de St.-Amand-Jartoudeix.
DT23-00998,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-01229,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-01301,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-01337,commune de 112La-Celle-Dunoise. — ,commune de La 112Celle-Dunoise. — 
DT23-01449,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-01506,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-01612,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-01711,commune de 131Saint-Étienne-de-Fursac. — ,commune de 131Saint-Etienne-de-Fursac. — 
DT23-01824,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-02061,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-02112,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-02176,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-02207,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-02275,commune de Cressat. — ,commune de Gressat. — 
DT23-02420,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-02521,commune de Saint-Éloi.,commune de Saint-Eloy.
DT23-02625,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-02730,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-02745,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-02750,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-02897,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-02960,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-03012,commune de Vallière.,commune de Vallière 
DT23-03183,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-03194,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-03234,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-03406,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-03451,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-03559,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-03592,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-03714,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-03751,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-03837,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-03858,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-03887,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-03940,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-03980,commune de 265 La-Rochette.,commune de La 265Rochette.
DT23-04044,commmune269 de Mourioux. — ,commune 269de Mourioux. — 
DT23-04249,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-04539,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
DT23-04674,commune de Saint-Éloi. — ,commune de Saint-Eloy. — 
