article,ProblemeLocalisation ?
DT28-00010,"commune de Levesville-la-Chenard, ","commune de Levéville-la-Chenard, "
DT28-02064,"commune de Levesville-la-Chenard, ","commune de Levasville, "
DT28-02859,canton d’Auneau.,commune d'Auneau.
DT28-02863,"Nogent-le-Rotrou, de la gare du chemin de fer, ou moulin Blondeau, du nom de son propriétaire ; construit en ","Nogent-le-Rotrou, de la gare du chemin de fer, ou "
DT28-03117,"commune de Barjouville, appelé aussi rivière de Moineaux.","commune de Barjouville, appelé aussi "
DT28-03962,canton de Châteaudun.,commune de Châteaudun.
DT28-04775,canton de Brou.,commune de Brou.
DT28-05090,commune de Baudreville.,commune de Raudreville.
DT28-05586,"commune d’Arrou, aujourd’hui détruit, le même que le Gué-Moreau.","commune d'Arrou, aujourd'hui détruit, le même que "
DT28-06318,commune de Gréez (Sarthe).,commune de Bréez (Sarthe).
DT28-07113,commune de Blandainville.,commune de Blaindainville.
